distributor_id,part_number,snapshot_week,units_on_hand
D01,SC-1019,2025-08-04,3330
D01,SC-1019,2025-08-11,2998
D01,SC-1019,2025-08-18,3147
D01,SC-1019,2025-08-25,3295
D01,SC-1019,2025-09-01,3024
D01,SC-1019,2025-09-08,2960
D01,SC-1019,2025-09-15,3041
D01,SC-1019,2025-09-22,3355
D01,SC-1019,2025-09-29,3125
D01,SC-1019,2025-10-06,4043
D01,SC-1019,2025-10-13,4302
D01,SC-1019,2025-10-20,4930
D01,SC-1019,2025-10-27,4673
D01,SC-1019,2025-11-03,4404
D01,SC-1019,2025-11-10,4094
D01,SC-1019,2025-11-17,4184
D01,SC-1019,2025-11-24,4801
D01,SC-1019,2025-12-01,4510
D01,SC-1019,2025-12-08,4250
D01,SC-1019,2025-12-15,3946
D01,SC-1019,2025-12-22,3699
D01,SC-1019,2025-12-29,3500
D01,SC-1019,2026-01-05,4656
D01,SC-1019,2026-01-12,5002
D01,SC-1019,2026-01-19,5095
D01,SC-1019,2026-01-26,5115
D01,SC-1019,2026-02-02,4892
D01,SC-1019,2026-02-09,4598
D01,SC-1019,2026-02-16,4398
D01,SC-1019,2026-02-23,4191
D01,SC-1019,2026-03-02,3931
D01,SC-1019,2026-03-09,3708
D01,SC-1019,2026-03-16,3471
D01,SC-1019,2026-03-23,3240
D01,SC-1019,2026-03-30,2992
D01,SC-1019,2026-04-06,2700
D01,SC-1019,2026-04-13,2461
D01,SC-1019,2026-04-20,2199
D01,SC-1019,2026-04-27,2024
D01,SC-1019,2026-05-04,1785
D01,SC-1019,2026-05-11,1872
D01,SC-1019,2026-05-18,1820
D01,SC-1019,2026-05-25,1607
D01,SC-1019,2026-06-01,1375
D01,SC-1019,2026-06-08,1646
D01,SC-1019,2026-06-15,1796
D01,SC-1019,2026-06-22,1802
D01,PW-1035,2024-01-01,14886
D01,PW-1035,2024-01-08,15195
D01,PW-1035,2024-01-15,15352
D01,PW-1035,2024-01-22,15572
D01,PW-1035,2024-01-29,15807
D01,PW-1035,2024-02-05,15916
D01,PW-1035,2024-02-12,15587
D01,PW-1035,2024-02-19,15120
D01,PW-1035,2024-02-26,15185
D01,PW-1035,2024-03-04,14652
D01,PW-1035,2024-03-11,13849
D01,PW-1035,2024-03-18,13316
D01,PW-1035,2024-03-25,12507
D01,PW-1035,2024-04-01,11128
D01,PW-1035,2024-04-08,10172
D01,PW-1035,2024-04-15,11045
D01,PW-1035,2024-04-22,9676
D01,PW-1035,2024-04-29,9184
D01,PW-1035,2024-05-06,10000
D01,PW-1035,2024-05-13,11657
D01,PW-1035,2024-05-20,10585
D01,PW-1035,2024-05-27,12887
D01,PW-1035,2024-06-03,13423
D01,PW-1035,2024-06-10,11641
D01,PW-1035,2024-06-17,16425
D01,PW-1035,2024-06-24,16874
D01,PW-1035,2024-07-01,16301
D01,PW-1035,2024-07-08,19524
D01,PW-1035,2024-07-15,20642
D01,PW-1035,2024-07-22,19178
D01,PW-1035,2024-07-29,20818
D01,PW-1035,2024-08-05,19404
D01,PW-1035,2024-08-12,19214
D01,PW-1035,2024-08-19,20720
D01,PW-1035,2024-08-26,20855
D01,PW-1035,2024-09-02,19520
D01,PW-1035,2024-09-09,18245
D01,PW-1035,2024-09-16,19272
D01,PW-1035,2024-09-23,19687
D01,PW-1035,2024-09-30,18536
D01,PW-1035,2024-10-07,19935
D01,PW-1035,2024-10-14,18195
D01,PW-1035,2024-10-21,17128
D01,PW-1035,2024-10-28,17217
D01,PW-1035,2024-11-04,17822
D01,PW-1035,2024-11-11,16794
D01,PW-1035,2024-11-18,15317
D01,PW-1035,2024-11-25,15316
D01,PW-1035,2024-12-02,14298
D01,PW-1035,2024-12-09,16220
D01,PW-1035,2024-12-16,16706
D01,PW-1035,2024-12-23,17157
D01,PW-1035,2024-12-30,16113
D01,PW-1035,2025-01-06,17296
D01,PW-1035,2025-01-13,16413
D01,PW-1035,2025-01-20,15264
D01,PW-1035,2025-01-27,13773
D01,PW-1035,2025-02-03,14420
D01,PW-1035,2025-02-10,14414
D01,PW-1035,2025-02-17,13966
D01,PW-1035,2025-02-24,14441
D01,PW-1035,2025-03-03,13863
D01,PW-1035,2025-03-10,14657
D01,PW-1035,2025-03-17,14519
D01,PW-1035,2025-03-24,14238
D01,PW-1035,2025-03-31,13404
D01,PW-1035,2025-04-07,13847
D01,PW-1035,2025-04-14,13675
D01,PW-1035,2025-04-21,12241
D01,PW-1035,2025-04-28,10311
D01,PW-1035,2025-05-05,11200
D01,PW-1035,2025-05-12,10145
D01,PW-1035,2025-05-19,10041
D01,PW-1035,2025-05-26,10594
D01,PW-1035,2025-06-02,10548
D01,PW-1035,2025-06-09,9737
D01,PW-1035,2025-06-16,11689
D01,PW-1035,2025-06-23,12794
D01,PW-1035,2025-06-30,13449
D01,PW-1035,2025-07-07,13529
D01,PW-1035,2025-07-14,12800
D01,PW-1035,2025-07-21,15282
D01,PW-1035,2025-07-28,15848
D01,PW-1035,2025-08-04,15967
D01,PW-1035,2025-08-11,15545
D01,PW-1035,2025-08-18,13295
D01,PW-1035,2025-08-25,18596
D01,PW-1035,2025-09-01,19404
D01,PW-1035,2025-09-08,19817
D01,PW-1035,2025-09-15,20140
D01,PW-1035,2025-09-22,19359
D01,PW-1035,2025-09-29,18847
D01,PW-1035,2025-10-06,18270
D01,PW-1035,2025-10-13,19607
D01,PW-1035,2025-10-20,17359
D01,PW-1035,2025-10-27,16966
D01,PW-1035,2025-11-03,18931
D01,PW-1035,2025-11-10,20567
D01,PW-1035,2025-11-17,22881
D01,PW-1035,2025-11-24,24965
D01,PW-1035,2025-12-01,23185
D01,PW-1035,2025-12-08,21452
D01,PW-1035,2025-12-15,20314
D01,PW-1035,2025-12-22,19310
D01,PW-1035,2025-12-29,17471
D01,PW-1035,2026-01-05,16047
D01,PW-1035,2026-01-12,16114
D01,PW-1035,2026-01-19,15635
D01,PW-1035,2026-01-26,16661
D01,PW-1035,2026-02-02,16355
D01,PW-1035,2026-02-09,16335
D01,PW-1035,2026-02-16,15911
D01,PW-1035,2026-02-23,15997
D01,PW-1035,2026-03-02,17089
D01,PW-1035,2026-03-09,17087
D01,PW-1035,2026-03-16,17121
D01,PW-1035,2026-03-23,17904
D01,PW-1035,2026-03-30,16881
D01,PW-1035,2026-04-06,17265
D01,PW-1035,2026-04-13,18761
D01,PW-1035,2026-04-20,19159
D01,PW-1035,2026-04-27,18281
D01,PW-1035,2026-05-04,18356
D01,PW-1035,2026-05-11,18802
D01,PW-1035,2026-05-18,19573
D01,PW-1035,2026-05-25,20939
D01,PW-1035,2026-06-01,19843
D01,PW-1035,2026-06-08,18807
D01,PW-1035,2026-06-15,16639
D01,PW-1035,2026-06-22,15790
D01,SC-1016,2024-01-01,6282
D01,SC-1016,2024-01-08,6255
D01,SC-1016,2024-01-15,5951
D01,SC-1016,2024-01-22,6100
D01,SC-1016,2024-01-29,6073
D01,SC-1016,2024-02-05,6135
D01,SC-1016,2024-02-12,6068
D01,SC-1016,2024-02-19,6045
D01,SC-1016,2024-02-26,5941
D01,SC-1016,2024-03-04,5782
D01,SC-1016,2024-03-11,5719
D01,SC-1016,2024-03-18,5544
D01,SC-1016,2024-03-25,5678
D01,SC-1016,2024-04-01,5427
D01,SC-1016,2024-04-08,5309
D01,SC-1016,2024-04-15,4851
D01,SC-1016,2024-04-22,4872
D01,SC-1016,2024-04-29,5103
D01,SC-1016,2024-05-06,4979
D01,SC-1016,2024-05-13,4616
D01,SC-1016,2024-05-20,4415
D01,SC-1016,2024-05-27,4213
D01,SC-1016,2024-06-03,5855
D01,SC-1016,2024-06-10,5008
D01,SC-1016,2024-06-17,4774
D01,SC-1016,2024-06-24,4161
D01,SC-1016,2024-07-01,4171
D01,SC-1016,2024-07-08,4028
D01,SC-1016,2024-07-15,4666
D01,SC-1016,2024-07-22,5708
D01,SC-1016,2024-07-29,5124
D01,SC-1016,2024-08-05,6139
D01,SC-1016,2024-08-12,5427
D01,SC-1016,2024-08-19,5667
D01,SC-1016,2024-08-26,5868
D01,SC-1016,2024-09-02,6925
D01,SC-1016,2024-09-09,6967
D01,SC-1016,2024-09-16,6114
D01,SC-1016,2024-09-23,6405
D01,SC-1016,2024-09-30,6248
D01,SC-1016,2024-10-07,6630
D01,SC-1016,2024-10-14,7685
D01,SC-1016,2024-10-21,6958
D01,SC-1016,2024-10-28,7384
D01,SC-1016,2024-11-04,7921
D01,SC-1016,2024-11-11,8328
D01,SC-1016,2024-11-18,7407
D01,SC-1016,2024-11-25,7931
D01,SC-1016,2024-12-02,7261
D01,SC-1016,2024-12-09,6617
D01,SC-1016,2024-12-16,6498
D01,SC-1016,2024-12-23,6178
D01,SC-1016,2024-12-30,5462
D01,SC-1016,2025-01-06,5413
D01,SC-1016,2025-01-13,5779
D01,SC-1016,2025-01-20,6638
D01,SC-1016,2025-01-27,7129
D01,SC-1016,2025-02-03,7607
D01,SC-1016,2025-02-10,8257
D01,SC-1016,2025-02-17,7810
D01,SC-1016,2025-02-24,7382
D01,SC-1016,2025-03-03,6782
D01,SC-1016,2025-03-10,6085
D01,SC-1016,2025-03-17,5557
D01,SC-1016,2025-03-24,5995
D01,SC-1016,2025-03-31,5325
D01,SC-1016,2025-04-07,6426
D01,SC-1016,2025-04-14,5971
D01,SC-1016,2025-04-21,5605
D01,SC-1016,2025-04-28,6797
D01,SC-1016,2025-05-05,7479
D01,SC-1016,2025-05-12,7540
D01,SC-1016,2025-05-19,7049
D01,SC-1016,2025-05-26,6853
D01,SC-1016,2025-06-02,6004
D01,SC-1016,2025-06-09,5712
D01,SC-1016,2025-06-16,6056
D01,SC-1016,2025-06-23,5366
D01,SC-1016,2025-06-30,4655
D01,SC-1016,2025-07-07,5342
D01,SC-1016,2025-07-14,5598
D01,SC-1016,2025-07-21,4909
D01,SC-1016,2025-07-28,5813
D01,SC-1016,2025-08-04,5114
D01,SC-1016,2025-08-11,4635
D01,SC-1016,2025-08-18,4006
D01,SC-1016,2025-08-25,3498
D01,SC-1016,2025-09-01,2950
D01,SC-1016,2025-09-08,3256
D01,SC-1016,2025-09-15,6953
D01,SC-1016,2025-09-22,6672
D01,SC-1016,2025-09-29,5938
D01,SC-1016,2025-10-06,6531
D01,SC-1016,2025-10-13,7326
D01,SC-1016,2025-10-20,7663
D01,SC-1016,2025-10-27,9908
D01,SC-1016,2025-11-03,9440
D01,SC-1016,2025-11-10,9083
D01,SC-1016,2025-11-17,10785
D01,SC-1016,2025-11-24,10552
D01,SC-1016,2025-12-01,10133
D01,SC-1016,2025-12-08,9642
D01,SC-1016,2025-12-15,9553
D01,SC-1016,2025-12-22,10463
D01,SC-1016,2025-12-29,9945
D01,SC-1016,2026-01-05,9560
D01,SC-1016,2026-01-12,9010
D01,SC-1016,2026-01-19,8630
D01,SC-1016,2026-01-26,8206
D01,SC-1016,2026-02-02,7583
D01,SC-1016,2026-02-09,7029
D01,SC-1016,2026-02-16,7505
D01,SC-1016,2026-02-23,7099
D01,SC-1016,2026-03-02,6666
D01,SC-1016,2026-03-09,7193
D01,SC-1016,2026-03-16,6722
D01,SC-1016,2026-03-23,6260
D01,SC-1016,2026-03-30,5795
D01,SC-1016,2026-04-06,5792
D01,SC-1016,2026-04-13,5416
D01,SC-1016,2026-04-20,4981
D01,SC-1016,2026-04-27,4438
D01,SC-1016,2026-05-04,4351
D01,SC-1016,2026-05-11,3886
D01,SC-1016,2026-05-18,3462
D01,SC-1016,2026-05-25,3123
D01,SC-1016,2026-06-01,2968
D01,SC-1016,2026-06-08,2617
D01,SC-1016,2026-06-15,3097
D01,SC-1016,2026-06-22,3052
D01,PW-1032,2024-01-01,11632
D01,PW-1032,2024-01-08,12963
D01,PW-1032,2024-01-15,12692
D01,PW-1032,2024-01-22,12797
D01,PW-1032,2024-01-29,13202
D01,PW-1032,2024-02-05,11874
D01,PW-1032,2024-02-12,12754
D01,PW-1032,2024-02-19,12738
D01,PW-1032,2024-02-26,13233
D01,PW-1032,2024-03-04,11998
D01,PW-1032,2024-03-11,11782
D01,PW-1032,2024-03-18,11486
D01,PW-1032,2024-03-25,12503
D01,PW-1032,2024-04-01,12512
D01,PW-1032,2024-04-08,13521
D01,PW-1032,2024-04-15,13192
D01,PW-1032,2024-04-22,11659
D01,PW-1032,2024-04-29,11005
D01,PW-1032,2024-05-06,10356
D01,PW-1032,2024-05-13,10549
D01,PW-1032,2024-05-20,10465
D01,PW-1032,2024-05-27,10848
D01,PW-1032,2024-06-03,10593
D01,PW-1032,2024-06-10,10082
D01,PW-1032,2024-06-17,10120
D01,PW-1032,2024-06-24,10770
D01,PW-1032,2024-07-01,11868
D01,PW-1032,2024-07-08,11312
D01,PW-1032,2024-07-15,11995
D01,PW-1032,2024-07-22,13408
D01,PW-1032,2024-07-29,11760
D01,PW-1032,2024-08-05,11284
D01,PW-1032,2024-08-12,12768
D01,PW-1032,2024-08-19,12791
D01,PW-1032,2024-08-26,13958
D01,PW-1032,2024-09-02,12521
D01,PW-1032,2024-09-09,11476
D01,PW-1032,2024-09-16,12526
D01,PW-1032,2024-09-23,13036
D01,PW-1032,2024-09-30,13870
D01,PW-1032,2024-10-07,13693
D01,PW-1032,2024-10-14,14674
D01,PW-1032,2024-10-21,15621
D01,PW-1032,2024-10-28,16086
D01,PW-1032,2024-11-04,16000
D01,PW-1032,2024-11-11,15596
D01,PW-1032,2024-11-18,14677
D01,PW-1032,2024-11-25,15018
D01,PW-1032,2024-12-02,14862
D01,PW-1032,2024-12-09,13889
D01,PW-1032,2024-12-16,12654
D01,PW-1032,2024-12-23,11272
D01,PW-1032,2024-12-30,12804
D01,PW-1032,2025-01-06,11976
D01,PW-1032,2025-01-13,11415
D01,PW-1032,2025-01-20,10594
D01,PW-1032,2025-01-27,11615
D01,PW-1032,2025-02-03,12766
D01,PW-1032,2025-02-10,11969
D01,PW-1032,2025-02-17,13120
D01,PW-1032,2025-02-24,11489
D01,PW-1032,2025-03-03,10276
D01,PW-1032,2025-03-10,10075
D01,PW-1032,2025-03-17,10681
D01,PW-1032,2025-03-24,9414
D01,PW-1032,2025-03-31,10139
D01,PW-1032,2025-04-07,11083
D01,PW-1032,2025-04-14,12333
D01,PW-1032,2025-04-21,13092
D01,PW-1032,2025-04-28,12792
D01,PW-1032,2025-05-05,14360
D01,PW-1032,2025-05-12,13016
D01,PW-1032,2025-05-19,14770
D01,PW-1032,2025-05-26,13995
D01,PW-1032,2025-06-02,12668
D01,PW-1032,2025-06-09,11426
D01,PW-1032,2025-06-16,11451
D01,PW-1032,2025-06-23,10677
D01,PW-1032,2025-06-30,9642
D01,PW-1032,2025-07-07,8188
D01,PW-1032,2025-07-14,7710
D01,PW-1032,2025-07-21,8513
D01,PW-1032,2025-07-28,13138
D01,PW-1032,2025-08-04,12932
D01,PW-1032,2025-08-11,14372
D01,PW-1032,2025-08-18,15848
D01,PW-1032,2025-08-25,18962
D01,PW-1032,2025-09-01,18571
D01,PW-1032,2025-09-08,18950
D01,PW-1032,2025-09-15,19974
D01,PW-1032,2025-09-22,20767
D01,PW-1032,2025-09-29,21092
D01,PW-1032,2025-10-06,20632
D01,PW-1032,2025-10-13,20838
D01,PW-1032,2025-10-20,19567
D01,PW-1032,2025-10-27,18487
D01,PW-1032,2025-11-03,18514
D01,PW-1032,2025-11-10,18709
D01,PW-1032,2025-11-17,17551
D01,PW-1032,2025-11-24,16492
D01,PW-1032,2025-12-01,15429
D01,PW-1032,2025-12-08,13955
D01,PW-1032,2025-12-15,13169
D01,PW-1032,2025-12-22,13188
D01,PW-1032,2025-12-29,12012
D01,PW-1032,2026-01-05,10960
D01,PW-1032,2026-01-12,10478
D01,PW-1032,2026-01-19,10604
D01,PW-1032,2026-01-26,12454
D01,PW-1032,2026-02-02,13017
D01,PW-1032,2026-02-09,13712
D01,PW-1032,2026-02-16,13156
D01,PW-1032,2026-02-23,13392
D01,PW-1032,2026-03-02,13625
D01,PW-1032,2026-03-09,14344
D01,PW-1032,2026-03-16,13744
D01,PW-1032,2026-03-23,12686
D01,PW-1032,2026-03-30,10708
D01,PW-1032,2026-04-06,10333
D01,PW-1032,2026-04-13,10979
D01,PW-1032,2026-04-20,11239
D01,PW-1032,2026-04-27,12367
D01,PW-1032,2026-05-04,11618
D01,PW-1032,2026-05-11,12126
D01,PW-1032,2026-05-18,11507
D01,PW-1032,2026-05-25,9831
D01,PW-1032,2026-06-01,13098
D01,PW-1032,2026-06-08,13018
D01,PW-1032,2026-06-15,12701
D01,PW-1032,2026-06-22,13084
D01,SC-1018,2024-01-01,2601
D01,SC-1018,2024-01-08,2601
D01,SC-1018,2024-01-15,2622
D01,SC-1018,2024-01-22,2512
D01,SC-1018,2024-01-29,2480
D01,SC-1018,2024-02-05,2483
D01,SC-1018,2024-02-12,2501
D01,SC-1018,2024-02-19,2484
D01,SC-1018,2024-02-26,2461
D01,SC-1018,2024-03-04,2380
D01,SC-1018,2024-03-11,2344
D01,SC-1018,2024-03-18,2328
D01,SC-1018,2024-03-25,2426
D01,SC-1018,2024-04-01,2327
D01,SC-1018,2024-04-08,2055
D01,SC-1018,2024-04-15,2030
D01,SC-1018,2024-04-22,2148
D01,SC-1018,2024-04-29,2235
D01,SC-1018,2024-05-06,2192
D01,SC-1018,2024-05-13,2119
D01,SC-1018,2024-05-20,2093
D01,SC-1018,2024-05-27,1960
D01,SC-1018,2024-06-03,1834
D01,SC-1018,2024-06-10,1764
D01,SC-1018,2024-06-17,1846
D01,SC-1018,2024-06-24,1767
D01,SC-1018,2024-07-01,2150
D01,SC-1018,2024-07-08,2194
D01,SC-1018,2024-07-15,2235
D01,SC-1018,2024-07-22,2046
D01,SC-1018,2024-07-29,2194
D01,SC-1018,2024-08-05,2039
D01,SC-1018,2024-08-12,1849
D01,SC-1018,2024-08-19,1768
D01,SC-1018,2024-08-26,2328
D01,SC-1018,2024-09-02,2423
D01,SC-1018,2024-09-09,2199
D01,SC-1018,2024-09-16,2288
D01,SC-1018,2024-09-23,2336
D01,SC-1018,2024-09-30,2105
D01,SC-1018,2024-10-07,2996
D01,SC-1018,2024-10-14,3333
D01,SC-1018,2024-10-21,3017
D01,SC-1018,2024-10-28,2985
D01,SC-1018,2024-11-04,3140
D01,SC-1018,2024-11-11,3236
D01,SC-1018,2024-11-18,3118
D01,SC-1018,2024-11-25,2938
D01,SC-1018,2024-12-02,3159
D01,SC-1018,2024-12-09,3108
D01,SC-1018,2024-12-16,3469
D01,SC-1018,2024-12-23,3628
D01,SC-1018,2024-12-30,3345
D01,SC-1018,2025-01-06,3654
D01,SC-1018,2025-01-13,4063
D01,SC-1018,2025-01-20,4226
D01,SC-1018,2025-01-27,4077
D01,SC-1018,2025-02-03,3993
D01,SC-1018,2025-02-10,3712
D01,SC-1018,2025-02-17,3342
D01,SC-1018,2025-02-24,3042
D01,SC-1018,2025-03-03,3067
D01,SC-1018,2025-03-10,2973
D01,SC-1018,2025-03-17,2663
D01,SC-1018,2025-03-24,2308
D01,SC-1018,2025-03-31,1957
D01,SC-1018,2025-04-07,1863
D01,SC-1018,2025-04-14,1748
D01,SC-1018,2025-04-21,1500
D01,SC-1018,2025-04-28,1204
D01,SC-1018,2025-05-05,962
D01,SC-1018,2025-05-12,958
D01,SC-1018,2025-05-19,992
D01,SC-1018,2025-05-26,1256
D01,SC-1018,2025-06-02,1110
D01,SC-1018,2025-06-09,1175
D01,SC-1018,2025-06-16,667
D01,SC-1018,2025-06-23,1244
D01,SC-1018,2025-06-30,1243
D01,SC-1018,2025-07-07,1813
D01,SC-1018,2025-07-14,1950
D01,SC-1018,2025-07-21,2246
D01,SC-1018,2025-07-28,2719
D01,SC-1018,2025-08-04,2479
D01,SC-1018,2025-08-11,2604
D01,SC-1018,2025-08-18,2952
D01,SC-1018,2025-08-25,2677
D01,SC-1018,2025-09-01,2480
D01,SC-1018,2025-09-08,2253
D01,SC-1018,2025-09-15,1955
D01,SC-1018,2025-09-22,1756
D01,SC-1018,2025-09-29,2594
D01,SC-1018,2025-10-06,3034
D01,SC-1018,2025-10-13,2893
D01,SC-1018,2025-10-20,2635
D01,SC-1018,2025-10-27,2394
D01,SC-1018,2025-11-03,3851
D01,SC-1018,2025-11-10,4174
D01,SC-1018,2025-11-17,5030
D01,SC-1018,2025-11-24,5349
D01,SC-1018,2025-12-01,5139
D01,SC-1018,2025-12-08,4930
D01,SC-1018,2025-12-15,4715
D01,SC-1018,2025-12-22,4507
D01,SC-1018,2025-12-29,5283
D01,SC-1018,2026-01-05,5123
D01,SC-1018,2026-01-12,5050
D01,SC-1018,2026-01-19,5349
D01,SC-1018,2026-01-26,5468
D01,SC-1018,2026-02-02,5274
D01,SC-1018,2026-02-09,5117
D01,SC-1018,2026-02-16,4892
D01,SC-1018,2026-02-23,4708
D01,SC-1018,2026-03-02,4503
D01,SC-1018,2026-03-09,4326
D01,SC-1018,2026-03-16,4076
D01,SC-1018,2026-03-23,3905
D01,SC-1018,2026-03-30,3720
D01,SC-1018,2026-04-06,3522
D01,SC-1018,2026-04-13,3357
D01,SC-1018,2026-04-20,3151
D01,SC-1018,2026-04-27,2901
D01,SC-1018,2026-05-04,2716
D01,SC-1018,2026-05-11,2505
D01,SC-1018,2026-05-18,2373
D01,SC-1018,2026-05-25,2174
D01,SC-1018,2026-06-01,1982
D01,SC-1018,2026-06-08,2105
D01,SC-1018,2026-06-15,1869
D01,SC-1018,2026-06-22,1728
D01,LD-1040,2024-01-01,70035
D01,LD-1040,2024-01-08,70269
D01,LD-1040,2024-01-15,69066
D01,LD-1040,2024-01-22,69324
D01,LD-1040,2024-01-29,69275
D01,LD-1040,2024-02-05,69728
D01,LD-1040,2024-02-12,71082
D01,LD-1040,2024-02-19,71906
D01,LD-1040,2024-02-26,67311
D01,LD-1040,2024-03-04,67719
D01,LD-1040,2024-03-11,72453
D01,LD-1040,2024-03-18,72617
D01,LD-1040,2024-03-25,65303
D01,LD-1040,2024-04-01,73516
D01,LD-1040,2024-04-08,69099
D01,LD-1040,2024-04-15,66453
D01,LD-1040,2024-04-22,63557
D01,LD-1040,2024-04-29,58946
D01,LD-1040,2024-05-06,55169
D01,LD-1040,2024-05-13,52629
D01,LD-1040,2024-05-20,53214
D01,LD-1040,2024-05-27,50851
D01,LD-1040,2024-06-03,55911
D01,LD-1040,2024-06-10,55808
D01,LD-1040,2024-06-17,66186
D01,LD-1040,2024-06-24,72042
D01,LD-1040,2024-07-01,78095
D01,LD-1040,2024-07-08,80937
D01,LD-1040,2024-07-15,82715
D01,LD-1040,2024-07-22,81749
D01,LD-1040,2024-07-29,79081
D01,LD-1040,2024-08-05,81256
D01,LD-1040,2024-08-12,76974
D01,LD-1040,2024-08-19,73580
D01,LD-1040,2024-08-26,66264
D01,LD-1040,2024-09-02,59659
D01,LD-1040,2024-09-09,56103
D01,LD-1040,2024-09-16,61712
D01,LD-1040,2024-09-23,58230
D01,LD-1040,2024-09-30,56016
D01,LD-1040,2024-10-07,62510
D01,LD-1040,2024-10-14,63369
D01,LD-1040,2024-10-21,63834
D01,LD-1040,2024-10-28,71332
D01,LD-1040,2024-11-04,82226
D01,LD-1040,2024-11-11,74441
D01,LD-1040,2024-11-18,72338
D01,LD-1040,2024-11-25,68463
D01,LD-1040,2024-12-02,73297
D01,LD-1040,2024-12-09,73798
D01,LD-1040,2024-12-16,68727
D01,LD-1040,2024-12-23,63710
D01,LD-1040,2024-12-30,57970
D01,LD-1040,2025-01-06,64399
D01,LD-1040,2025-01-13,72618
D01,LD-1040,2025-01-20,72868
D01,LD-1040,2025-01-27,66690
D01,LD-1040,2025-02-03,61155
D01,LD-1040,2025-02-10,59876
D01,LD-1040,2025-02-17,60217
D01,LD-1040,2025-02-24,59551
D01,LD-1040,2025-03-03,55924
D01,LD-1040,2025-03-10,51397
D01,LD-1040,2025-03-17,53827
D01,LD-1040,2025-03-24,56602
D01,LD-1040,2025-03-31,59598
D01,LD-1040,2025-04-07,61652
D01,LD-1040,2025-04-14,62113
D01,LD-1040,2025-04-21,65618
D01,LD-1040,2025-04-28,67923
D01,LD-1040,2025-05-05,62401
D01,LD-1040,2025-05-12,56631
D01,LD-1040,2025-05-19,48742
D01,LD-1040,2025-05-26,55294
D01,LD-1040,2025-06-02,55074
D01,LD-1040,2025-06-09,57557
D01,LD-1040,2025-06-16,50502
D01,LD-1040,2025-06-23,62001
D01,LD-1040,2025-06-30,65831
D01,LD-1040,2025-07-07,73012
D01,LD-1040,2025-07-14,76776
D01,LD-1040,2025-07-21,78954
D01,LD-1040,2025-07-28,85593
D01,LD-1040,2025-08-04,86500
