distributor_id,part_number,week_start,units_sold,resale_value
D01,SC-1019,2025-12-01,290,2797.76
D01,SC-1019,2025-12-08,260,2502.13
D01,SC-1019,2025-12-15,305,2961.77
D01,SC-1019,2025-12-22,247,2297.52
D01,SC-1019,2025-12-29,199,2030.65
D01,SC-1019,2026-01-05,194,1857.38
D01,SC-1019,2026-01-12,304,2932.27
D01,SC-1019,2026-01-19,307,2960.32
D01,SC-1019,2026-01-26,230,2151.42
D01,SC-1019,2026-02-02,223,2106.84
D01,SC-1019,2026-02-09,294,2810.47
D01,SC-1019,2026-02-16,200,1895.08
D01,SC-1019,2026-02-23,207,2093.2
D01,SC-1019,2026-03-02,260,2697.16
D01,SC-1019,2026-03-09,223,2217.01
D01,SC-1019,2026-03-16,236,2253.0
D01,SC-1019,2026-03-23,231,2249.29
D01,SC-1019,2026-03-30,249,2356.96
D01,SC-1019,2026-04-06,292,2899.2
D01,SC-1019,2026-04-13,239,2353.08
D01,SC-1019,2026-04-20,262,2467.94
D01,SC-1019,2026-04-27,176,1643.71
D01,SC-1019,2026-05-04,239,2371.85
D01,SC-1019,2026-05-11,213,2115.51
D01,SC-1019,2026-05-18,202,1963.54
D01,SC-1019,2026-05-25,213,2077.33
D01,SC-1019,2026-06-01,232,2176.33
D01,SC-1019,2026-06-08,279,2652.03
D01,SC-1019,2026-06-15,200,1956.26
D01,SC-1019,2026-06-22,244,2463.51
D01,PW-1035,2024-01-01,1773,3373.56
D01,PW-1035,2024-01-08,1192,2316.06
D01,PW-1035,2024-01-15,1343,2411.14
D01,PW-1035,2024-01-22,1280,2404.79
D01,PW-1035,2024-01-29,1265,2397.58
D01,PW-1035,2024-02-05,1391,2464.98
D01,PW-1035,2024-02-12,1829,3583.03
D01,PW-1035,2024-02-19,1966,3729.92
D01,PW-1035,2024-02-26,1436,2785.15
D01,PW-1035,2024-03-04,2032,3791.97
D01,PW-1035,2024-03-11,1553,2827.07
D01,PW-1035,2024-03-18,2033,3951.77
D01,PW-1035,2024-03-25,1559,2798.5
D01,PW-1035,2024-04-01,1630,2944.1
D01,PW-1035,2024-04-08,1706,3357.11
D01,PW-1035,2024-04-15,2627,5118.43
D01,PW-1035,2024-04-22,1870,3466.15
D01,PW-1035,2024-04-29,1492,2940.54
D01,PW-1035,2024-05-06,1933,3812.43
D01,PW-1035,2024-05-13,1594,2920.36
D01,PW-1035,2024-05-20,1572,3032.08
D01,PW-1035,2024-05-27,1948,3741.19
D01,PW-1035,2024-06-03,1713,3336.93
D01,PW-1035,2024-06-10,1783,3169.3
D01,PW-1035,2024-06-17,1715,3031.54
D01,PW-1035,2024-06-24,1801,3244.41
D01,PW-1035,2024-07-01,1823,3528.51
D01,PW-1035,2024-07-08,1277,2453.72
D01,PW-1035,2024-07-15,1882,3409.92
D01,PW-1035,2024-07-22,1464,2639.92
D01,PW-1035,2024-07-29,1360,2452.12
D01,PW-1035,2024-08-05,1665,3164.76
D01,PW-1035,2024-08-12,1690,3289.37
D01,PW-1035,2024-08-19,1494,2865.34
D01,PW-1035,2024-08-26,1864,3304.9
D01,PW-1035,2024-09-02,1336,2474.98
D01,PW-1035,2024-09-09,1525,2779.32
D01,PW-1035,2024-09-16,1473,2623.02
D01,PW-1035,2024-09-23,1584,2855.78
D01,PW-1035,2024-09-30,1651,2937.69
D01,PW-1035,2024-10-07,1351,2447.23
D01,PW-1035,2024-10-14,1740,3123.36
D01,PW-1035,2024-10-21,1566,2882.42
D01,PW-1035,2024-10-28,1162,2274.49
D01,PW-1035,2024-11-04,1145,2051.89
D01,PW-1035,2024-11-11,1528,2966.53
D01,PW-1035,2024-11-18,1477,2623.11
D01,PW-1035,2024-11-25,1501,2900.79
D01,PW-1035,2024-12-02,1518,2984.71
D01,PW-1035,2024-12-09,1579,2893.5
D01,PW-1035,2024-12-16,1763,3245.82
D01,PW-1035,2024-12-23,1300,2545.2
D01,PW-1035,2024-12-30,1294,2409.35
D01,PW-1035,2025-01-06,1317,2430.18
D01,PW-1035,2025-01-13,1632,2956.48
D01,PW-1035,2025-01-20,1899,3717.88
D01,PW-1035,2025-01-27,1490,2916.28
D01,PW-1035,2025-02-03,1103,1955.6
D01,PW-1035,2025-02-10,1256,2411.87
D01,PW-1035,2025-02-17,1447,2810.69
D01,PW-1035,2025-02-24,1525,2970.43
D01,PW-1035,2025-03-03,1578,3038.83
D01,PW-1035,2025-03-10,1706,3315.1
D01,PW-1035,2025-03-17,1638,2927.74
D01,PW-1035,2025-03-24,2031,3841.7
D01,PW-1035,2025-03-31,1585,3058.62
D01,PW-1035,2025-04-07,1557,2758.8
D01,PW-1035,2025-04-14,1922,3660.33
D01,PW-1035,2025-04-21,1434,2596.56
D01,PW-1035,2025-04-28,1929,3784.45
D01,PW-1035,2025-05-05,1862,3538.58
D01,PW-1035,2025-05-12,1805,3202.21
D01,PW-1035,2025-05-19,2354,4500.4
D01,PW-1035,2025-05-26,1697,3039.7
D01,PW-1035,2025-06-02,2546,4977.37
D01,PW-1035,2025-06-09,1811,3560.18
D01,PW-1035,2025-06-16,1549,2766.37
D01,PW-1035,2025-06-23,1895,3676.7
D01,PW-1035,2025-06-30,1594,2995.19
D01,PW-1035,2025-07-07,1670,3108.38
D01,PW-1035,2025-07-14,1979,3528.02
D01,PW-1035,2025-07-21,2018,3581.23
D01,PW-1035,2025-07-28,1683,3152.85
D01,PW-1035,2025-08-04,2131,4175.23
D01,PW-1035,2025-08-11,2173,3926.08
D01,PW-1035,2025-08-18,2250,4068.81
D01,PW-1035,2025-08-25,1949,3583.67
D01,PW-1035,2025-09-01,2192,4043.69
D01,PW-1035,2025-09-08,1337,2541.31
D01,PW-1035,2025-09-15,1676,3193.71
D01,PW-1035,2025-09-22,1532,3000.64
D01,PW-1035,2025-09-29,1762,3297.15
D01,PW-1035,2025-10-06,1577,2922.58
D01,PW-1035,2025-10-13,1664,2962.99
D01,PW-1035,2025-10-20,2248,4245.74
D01,PW-1035,2025-10-27,1643,3205.85
D01,PW-1035,2025-11-03,1785,3440.47
D01,PW-1035,2025-11-10,1614,2967.33
D01,PW-1035,2025-11-17,1686,3126.15
D01,PW-1035,2025-11-24,1666,3017.41
D01,PW-1035,2025-12-01,1780,3417.61
D01,PW-1035,2025-12-08,1984,3568.17
D01,PW-1035,2025-12-15,2137,4110.07
D01,PW-1035,2025-12-22,1755,3153.9
D01,PW-1035,2025-12-29,1839,3514.99
D01,PW-1035,2026-01-05,1425,2755.47
D01,PW-1035,2026-01-12,1682,3033.96
D01,PW-1035,2026-01-19,1979,3623.95
D01,PW-1035,2026-01-26,1974,3638.01
D01,PW-1035,2026-02-02,1807,3431.11
D01,PW-1035,2026-02-09,2020,3945.59
D01,PW-1035,2026-02-16,1924,3588.0
D01,PW-1035,2026-02-23,2164,4194.71
D01,PW-1035,2026-03-02,1909,3762.2
D01,PW-1035,2026-03-09,1752,3192.74
D01,PW-1035,2026-03-16,1966,3592.88
D01,PW-1035,2026-03-23,1217,2359.69
D01,PW-1035,2026-03-30,2023,3856.77
D01,PW-1035,2026-04-06,1116,2181.21
D01,PW-1035,2026-04-13,1504,2700.66
D01,PW-1035,2026-04-20,2102,4007.58
D01,PW-1035,2026-04-27,2128,3875.24
D01,PW-1035,2026-05-04,1676,3226.28
D01,PW-1035,2026-05-11,1804,3399.07
D01,PW-1035,2026-05-18,2478,4424.87
D01,PW-1035,2026-05-25,1884,3405.64
D01,PW-1035,2026-06-01,2846,5431.89
D01,PW-1035,2026-06-08,2036,3701.36
D01,PW-1035,2026-06-15,2168,3919.92
D01,PW-1035,2026-06-22,2599,5075.74
D01,SC-1016,2024-01-01,518,12566.98
D01,SC-1016,2024-01-08,626,15311.37
D01,SC-1016,2024-01-15,904,21291.57
D01,SC-1016,2024-01-22,452,10379.89
D01,SC-1016,2024-01-29,626,14380.65
D01,SC-1016,2024-02-05,539,12226.7
D01,SC-1016,2024-02-12,667,15864.17
D01,SC-1016,2024-02-19,624,15150.56
D01,SC-1016,2024-02-26,704,15689.6
D01,SC-1016,2024-03-04,759,17851.47
D01,SC-1016,2024-03-11,664,15699.04
D01,SC-1016,2024-03-18,774,19022.98
D01,SC-1016,2024-03-25,466,10571.6
D01,SC-1016,2024-04-01,851,18931.14
D01,SC-1016,2024-04-08,718,17012.65
D01,SC-1016,2024-04-15,808,18846.2
D01,SC-1016,2024-04-22,578,13408.98
D01,SC-1016,2024-04-29,620,15181.01
D01,SC-1016,2024-05-06,724,17431.73
D01,SC-1016,2024-05-13,713,15901.58
D01,SC-1016,2024-05-20,751,17709.03
D01,SC-1016,2024-05-27,852,19881.38
D01,SC-1016,2024-06-03,559,12886.36
D01,SC-1016,2024-06-10,846,19094.21
D01,SC-1016,2024-06-17,734,16647.5
D01,SC-1016,2024-06-24,713,16897.23
D01,SC-1016,2024-07-01,590,13276.44
D01,SC-1016,2024-07-08,793,18511.8
D01,SC-1016,2024-07-15,512,11997.19
D01,SC-1016,2024-07-22,808,19623.8
D01,SC-1016,2024-07-29,585,14257.01
D01,SC-1016,2024-08-05,734,16331.44
D01,SC-1016,2024-08-12,712,16712.19
D01,SC-1016,2024-08-19,860,19262.83
D01,SC-1016,2024-08-26,699,16908.59
D01,SC-1016,2024-09-02,643,15071.87
D01,SC-1016,2024-09-09,657,16128.7
D01,SC-1016,2024-09-16,853,20593.8
D01,SC-1016,2024-09-23,759,17658.57
D01,SC-1016,2024-09-30,657,14562.91
D01,SC-1016,2024-10-07,668,16458.61
D01,SC-1016,2024-10-14,545,12748.18
D01,SC-1016,2024-10-21,727,16244.94
D01,SC-1016,2024-10-28,525,11951.36
D01,SC-1016,2024-11-04,762,18535.83
D01,SC-1016,2024-11-11,693,15862.79
D01,SC-1016,2024-11-18,972,21939.21
D01,SC-1016,2024-11-25,576,13798.51
D01,SC-1016,2024-12-02,670,15184.2
D01,SC-1016,2024-12-09,893,20305.67
D01,SC-1016,2024-12-16,819,19386.34
D01,SC-1016,2024-12-23,620,13975.97
D01,SC-1016,2024-12-30,717,15874.37
D01,SC-1016,2025-01-06,698,15937.14
D01,SC-1016,2025-01-13,735,16975.03
D01,SC-1016,2025-01-20,640,14719.13
D01,SC-1016,2025-01-27,709,17484.75
D01,SC-1016,2025-02-03,572,13783.13
D01,SC-1016,2025-02-10,750,18071.19
D01,SC-1016,2025-02-17,797,19343.27
D01,SC-1016,2025-02-24,729,16694.81
D01,SC-1016,2025-03-03,599,13402.02
D01,SC-1016,2025-03-10,897,21821.41
D01,SC-1016,2025-03-17,828,19259.18
D01,SC-1016,2025-03-24,712,16234.58
D01,SC-1016,2025-03-31,770,17543.51
D01,SC-1016,2025-04-07,649,15041.4
D01,SC-1016,2025-04-14,705,17101.45
D01,SC-1016,2025-04-21,766,18091.95
D01,SC-1016,2025-04-28,1008,22448.2
D01,SC-1016,2025-05-05,768,18303.27
D01,SC-1016,2025-05-12,938,22168.84
D01,SC-1016,2025-05-19,792,18434.72
D01,SC-1016,2025-05-26,896,21953.19
D01,SC-1016,2025-06-02,849,19193.4
D01,SC-1016,2025-06-09,992,22808.48
D01,SC-1016,2025-06-16,805,18094.44
D01,SC-1016,2025-06-23,690,15374.22
D01,SC-1016,2025-06-30,711,16388.41
D01,SC-1016,2025-07-07,613,13957.67
D01,SC-1016,2025-07-14,544,12571.74
D01,SC-1016,2025-07-21,689,15587.14
D01,SC-1016,2025-07-28,596,13582.75
D01,SC-1016,2025-08-04,900,21343.19
D01,SC-1016,2025-08-11,478,11051.21
D01,SC-1016,2025-08-18,630,14485.82
D01,SC-1016,2025-08-25,507,11916.33
D01,SC-1016,2025-09-01,549,13223.73
D01,SC-1016,2025-09-08,593,13700.47
D01,SC-1016,2025-09-15,403,9517.73
D01,SC-1016,2025-09-22,582,14305.07
D01,SC-1016,2025-09-29,734,17218.67
D01,SC-1016,2025-10-06,507,12395.46
D01,SC-1016,2025-10-13,555,12928.2
D01,SC-1016,2025-10-20,613,14350.82
D01,SC-1016,2025-10-27,505,12260.99
D01,SC-1016,2025-11-03,468,11121.37
D01,SC-1016,2025-11-10,358,8300.96
D01,SC-1016,2025-11-17,548,12240.41
D01,SC-1016,2025-11-24,483,11572.05
D01,SC-1016,2025-12-01,418,9905.33
D01,SC-1016,2025-12-08,492,11265.1
D01,SC-1016,2025-12-15,439,10039.62
D01,SC-1016,2025-12-22,439,9764.81
D01,SC-1016,2025-12-29,518,12431.69
D01,SC-1016,2026-01-05,386,8992.85
D01,SC-1016,2026-01-12,550,12763.5
D01,SC-1016,2026-01-19,380,8747.37
D01,SC-1016,2026-01-26,424,9681.93
D01,SC-1016,2026-02-02,624,13904.42
D01,SC-1016,2026-02-09,554,12523.2
D01,SC-1016,2026-02-16,474,10659.69
D01,SC-1016,2026-02-23,406,9573.48
D01,SC-1016,2026-03-02,432,9634.56
D01,SC-1016,2026-03-09,473,10547.45
D01,SC-1016,2026-03-16,471,10697.43
D01,SC-1016,2026-03-23,462,10808.35
D01,SC-1016,2026-03-30,466,11097.63
D01,SC-1016,2026-04-06,453,10808.15
D01,SC-1016,2026-04-13,376,8567.71
D01,SC-1016,2026-04-20,435,10088.58
D01,SC-1016,2026-04-27,543,12427.88
D01,SC-1016,2026-05-04,387,8703.02
D01,SC-1016,2026-05-11,465,10331.79
D01,SC-1016,2026-05-18,424,10028.11
D01,SC-1016,2026-05-25,489,11142.0
D01,SC-1016,2026-06-01,455,10977.52
D01,SC-1016,2026-06-08,602,13766.77
D01,SC-1016,2026-06-15,520,12215.07
D01,SC-1016,2026-06-22,395,9683.72
D01,PW-1032,2024-01-01,1140,4691.68
D01,PW-1032,2024-01-08,1169,4864.59
D01,PW-1032,2024-01-15,1521,6364.57
D01,PW-1032,2024-01-22,1145,4846.87
D01,PW-1032,2024-01-29,845,3336.91
D01,PW-1032,2024-02-05,1328,5213.16
D01,PW-1032,2024-02-12,1120,4537.06
D01,PW-1032,2024-02-19,1266,4946.05
D01,PW-1032,2024-02-26,1256,4957.94
D01,PW-1032,2024-03-04,1235,5180.78
D01,PW-1032,2024-03-11,1466,5892.41
D01,PW-1032,2024-03-18,1046,4101.3
D01,PW-1032,2024-03-25,1232,4975.65
D01,PW-1032,2024-04-01,1492,6104.22
D01,PW-1032,2024-04-08,1241,5014.41
D01,PW-1032,2024-04-15,1079,4505.29
D01,PW-1032,2024-04-22,1533,6356.19
D01,PW-1032,2024-04-29,1654,7015.24
D01,PW-1032,2024-05-06,1399,5446.36
D01,PW-1032,2024-05-13,1056,4284.63
D01,PW-1032,2024-05-20,1585,6680.39
D01,PW-1032,2024-05-27,1116,4386.55
D01,PW-1032,2024-06-03,1505,5915.53
D01,PW-1032,2024-06-10,1261,5369.97
D01,PW-1032,2024-06-17,1212,4820.18
D01,PW-1032,2024-06-24,1350,5238.58
D01,PW-1032,2024-07-01,1402,5563.97
D01,PW-1032,2024-07-08,1306,5398.39
D01,PW-1032,2024-07-15,1567,6516.91
D01,PW-1032,2024-07-22,1337,5400.21
D01,PW-1032,2024-07-29,1648,6353.32
D01,PW-1032,2024-08-05,1476,6078.14
D01,PW-1032,2024-08-12,1267,5014.93
D01,PW-1032,2024-08-19,1227,5142.81
D01,PW-1032,2024-08-26,1083,4160.64
D01,PW-1032,2024-09-02,1438,5656.95
D01,PW-1032,2024-09-09,1295,5147.78
D01,PW-1032,2024-09-16,949,4019.19
D01,PW-1032,2024-09-23,1241,4950.26
D01,PW-1032,2024-09-30,1165,4883.29
D01,PW-1032,2024-10-07,1677,6838.2
D01,PW-1032,2024-10-14,1019,4342.42
D01,PW-1032,2024-10-21,1053,4136.34
D01,PW-1032,2024-10-28,1536,5895.79
D01,PW-1032,2024-11-04,1586,6257.22
D01,PW-1032,2024-11-11,1153,4751.64
D01,PW-1032,2024-11-18,1170,4709.73
D01,PW-1032,2024-11-25,1409,5663.21
D01,PW-1032,2024-12-02,906,3721.15
D01,PW-1032,2024-12-09,973,3831.43
D01,PW-1032,2024-12-16,1236,4923.53
D01,PW-1032,2024-12-23,1632,6411.56
D01,PW-1032,2024-12-30,1218,5065.12
D01,PW-1032,2025-01-06,1328,5292.72
D01,PW-1032,2025-01-13,1561,6487.82
D01,PW-1032,2025-01-20,1821,7326.11
D01,PW-1032,2025-01-27,1229,4919.01
D01,PW-1032,2025-02-03,1349,5175.87
D01,PW-1032,2025-02-10,1797,7034.69
D01,PW-1032,2025-02-17,1100,4279.41
D01,PW-1032,2025-02-24,1630,6294.29
D01,PW-1032,2025-03-03,1213,4646.57
D01,PW-1032,2025-03-10,1452,6176.26
D01,PW-1032,2025-03-17,1394,5927.23
D01,PW-1032,2025-03-24,1266,5359.17
D01,PW-1032,2025-03-31,1275,5417.3
D01,PW-1032,2025-04-07,1556,6046.38
D01,PW-1032,2025-04-14,1750,6874.0
D01,PW-1032,2025-04-21,1492,5803.63
D01,PW-1032,2025-04-28,1550,6322.68
D01,PW-1032,2025-05-05,1683,6847.5
D01,PW-1032,2025-05-12,1344,5183.29
D01,PW-1032,2025-05-19,1746,7300.75
D01,PW-1032,2025-05-26,1775,7407.76
D01,PW-1032,2025-06-02,2327,9041.97
D01,PW-1032,2025-06-09,1492,5705.8
D01,PW-1032,2025-06-16,1475,5700.67
D01,PW-1032,2025-06-23,1773,6996.76
D01,PW-1032,2025-06-30,1785,6919.66
D01,PW-1032,2025-07-07,1454,6011.27
D01,PW-1032,2025-07-14,1479,5712.79
D01,PW-1032,2025-07-21,1697,6894.27
D01,PW-1032,2025-07-28,1375,5441.83
D01,PW-1032,2025-08-04,1456,5915.38
D01,PW-1032,2025-08-11,1559,6633.79
D01,PW-1032,2025-08-18,1774,7364.03
D01,PW-1032,2025-08-25,1385,5340.65
D01,PW-1032,2025-09-01,1142,4714.76
D01,PW-1032,2025-09-08,1120,4440.87
D01,PW-1032,2025-09-15,1226,4994.65
D01,PW-1032,2025-09-22,1207,4777.77
D01,PW-1032,2025-09-29,1425,5680.68
D01,PW-1032,2025-10-06,1211,5154.2
D01,PW-1032,2025-10-13,1293,5158.15
D01,PW-1032,2025-10-20,1272,5377.85
D01,PW-1032,2025-10-27,1329,5349.1
D01,PW-1032,2025-11-03,1724,6657.75
D01,PW-1032,2025-11-10,1555,6365.56
D01,PW-1032,2025-11-17,1408,5653.01
D01,PW-1032,2025-11-24,1309,5236.0
D01,PW-1032,2025-12-01,1314,5579.27
D01,PW-1032,2025-12-08,1474,5850.59
D01,PW-1032,2025-12-15,1535,5941.48
D01,PW-1032,2025-12-22,1232,4816.74
D01,PW-1032,2025-12-29,1426,6025.07
D01,PW-1032,2026-01-05,1052,4056.0
D01,PW-1032,2026-01-12,1483,5919.85
D01,PW-1032,2026-01-19,1623,6890.25
D01,PW-1032,2026-01-26,1401,5751.02
D01,PW-1032,2026-02-02,1937,8007.85
D01,PW-1032,2026-02-09,1305,5375.78
D01,PW-1032,2026-02-16,1556,6171.1
D01,PW-1032,2026-02-23,1514,5871.08
D01,PW-1032,2026-03-02,1517,5859.65
D01,PW-1032,2026-03-09,1531,5885.43
D01,PW-1032,2026-03-16,1600,6818.87
D01,PW-1032,2026-03-23,1808,7476.3
D01,PW-1032,2026-03-30,1978,7665.09
D01,PW-1032,2026-04-06,1625,6430.78
D01,PW-1032,2026-04-13,1854,7576.59
D01,PW-1032,2026-04-20,1490,6090.15
D01,PW-1032,2026-04-27,1872,7712.48
D01,PW-1032,2026-05-04,1499,6063.37
D01,PW-1032,2026-05-11,1992,7658.87
D01,PW-1032,2026-05-18,2369,9349.8
D01,PW-1032,2026-05-25,1676,6691.29
D01,PW-1032,2026-06-01,1233,5124.56
D01,PW-1032,2026-06-08,1581,6684.89
D01,PW-1032,2026-06-15,2067,7897.28
D01,PW-1032,2026-06-22,1866,7709.56
D01,SC-1018,2024-01-01,231,3889.17
D01,SC-1018,2024-01-08,250,4101.39
D01,SC-1018,2024-01-15,229,3909.16
D01,SC-1018,2024-01-22,260,4415.45
D01,SC-1018,2024-01-29,282,4629.62
D01,SC-1018,2024-02-05,247,4056.33
D01,SC-1018,2024-02-12,332,5623.46
D01,SC-1018,2024-02-19,267,4534.9
D01,SC-1018,2024-02-26,272,4668.7
D01,SC-1018,2024-03-04,231,4194.45
D01,SC-1018,2024-03-11,286,4987.82
D01,SC-1018,2024-03-18,267,4473.56
D01,SC-1018,2024-03-25,252,4183.69
D01,SC-1018,2024-04-01,249,4474.68
D01,SC-1018,2024-04-08,422,7368.47
D01,SC-1018,2024-04-15,275,5005.03
D01,SC-1018,2024-04-22,232,4140.96
D01,SC-1018,2024-04-29,263,4570.46
D01,SC-1018,2024-05-06,293,5034.02
D01,SC-1018,2024-05-13,323,5317.66
D01,SC-1018,2024-05-20,326,5825.93
D01,SC-1018,2024-05-27,334,6030.58
D01,SC-1018,2024-06-03,275,4753.87
D01,SC-1018,2024-06-10,320,5539.86
D01,SC-1018,2024-06-17,268,4667.47
D01,SC-1018,2024-06-24,279,4831.22
D01,SC-1018,2024-07-01,267,4627.28
D01,SC-1018,2024-07-08,256,4616.64
D01,SC-1018,2024-07-15,359,5974.07
D01,SC-1018,2024-07-22,339,6072.87
D01,SC-1018,2024-07-29,353,6042.36
D01,SC-1018,2024-08-05,305,5278.38
D01,SC-1018,2024-08-12,339,6077.58
D01,SC-1018,2024-08-19,231,4196.31
D01,SC-1018,2024-08-26,340,5713.69
D01,SC-1018,2024-09-02,305,5112.7
D01,SC-1018,2024-09-09,324,5862.86
D01,SC-1018,2024-09-16,311,5278.14
D01,SC-1018,2024-09-23,252,4519.38
D01,SC-1018,2024-09-30,232,4087.4
D01,SC-1018,2024-10-07,259,4519.83
D01,SC-1018,2024-10-14,312,5638.36
D01,SC-1018,2024-10-21,317,5767.19
D01,SC-1018,2024-10-28,232,4156.27
D01,SC-1018,2024-11-04,245,4109.85
D01,SC-1018,2024-11-11,254,4547.33
D01,SC-1018,2024-11-18,268,4661.97
D01,SC-1018,2024-11-25,231,3799.25
D01,SC-1018,2024-12-02,229,4122.02
D01,SC-1018,2024-12-09,251,4264.13
D01,SC-1018,2024-12-16,289,4762.84
D01,SC-1018,2024-12-23,240,4042.79
D01,SC-1018,2024-12-30,284,4954.27
D01,SC-1018,2025-01-06,341,6092.71
D01,SC-1018,2025-01-13,241,3975.18
D01,SC-1018,2025-01-20,287,4801.97
D01,SC-1018,2025-01-27,349,5967.64
D01,SC-1018,2025-02-03,284,5060.77
D01,SC-1018,2025-02-10,281,5073.42
D01,SC-1018,2025-02-17,369,6153.03
D01,SC-1018,2025-02-24,300,5405.97
D01,SC-1018,2025-03-03,375,6741.27
D01,SC-1018,2025-03-10,344,6043.98
D01,SC-1018,2025-03-17,310,5547.48
D01,SC-1018,2025-03-24,355,6427.85
D01,SC-1018,2025-03-31,351,6231.56
D01,SC-1018,2025-04-07,394,6842.92
D01,SC-1018,2025-04-14,315,5347.55
D01,SC-1018,2025-04-21,348,6005.58
D01,SC-1018,2025-04-28,346,5773.87
D01,SC-1018,2025-05-05,391,6998.42
D01,SC-1018,2025-05-12,304,5528.35
D01,SC-1018,2025-05-19,416,7374.83
D01,SC-1018,2025-05-26,386,6996.93
D01,SC-1018,2025-06-02,296,5050.96
