issue,distributor_id,part_number,week_start
duplicate_line,D02,LD-1038,2024-12-23
duplicate_line,D02,SC-1020,2024-12-23
test_row,D02,,2025-03-10
duplicate_line,D02,LD-1036,2025-04-07
duplicate_line,D02,PM-1006,2025-04-14
duplicate_line,D02,PM-1003,2025-04-21
duplicate_line,D02,PW-1033,2025-04-21
duplicate_line,D02,PW-1031,2025-04-28
duplicate_line,D02,SC-1016,2025-06-02
resubmitted_week,D02,,2025-06-16
duplicate_line,D02,SC-1018,2025-06-23
duplicate_line,D02,PW-1031,2025-07-14
duplicate_line,D02,PM-1005,2025-07-14
duplicate_line,D02,PM-1003,2025-07-28
duplicate_line,D02,PW-1033,2025-09-01
duplicate_line,D02,LD-1042,2025-09-08
duplicate_line,D02,PM-1004,2025-09-15
duplicate_line,D02,IG-1010,2025-09-15
duplicate_line,D02,LD-1038,2025-10-06
duplicate_line,D02,SC-1020,2025-10-20
duplicate_line,D02,LD-1039,2025-12-01
duplicate_line,D02,SC-1018,2025-12-15
duplicate_line,D02,LD-1037,2026-01-05
duplicate_line,D02,SC-1019,2026-01-12
duplicate_line,D02,LD-1036,2026-02-02
duplicate_line,D02,PW-1033,2026-06-22
invalid_qty,D03,LD-1040,2024-01-15
duplicate_line,D03,IS-1022,2024-02-12
duplicate_line,D03,LD-1037,2024-03-04
duplicate_line,D03,SC-1015,2024-07-08
duplicate_line,D03,PM-1001,2024-07-15
resubmitted_week,D03,,2024-07-22
duplicate_line,D03,IS-1028,2024-07-29
resubmitted_week,D03,,2024-10-14
resubmitted_week,D03,,2024-10-21
resubmitted_week,D03,,2024-11-18
duplicate_line,D03,LD-1040,2025-01-13
duplicate_line,D03,IS-1024,2025-04-21
duplicate_line,D03,IS-1022,2025-04-28
duplicate_line,D03,PW-1032,2025-05-12
duplicate_line,D03,IG-1014,2025-06-02
duplicate_line,D03,IS-1026,2025-07-14
invalid_qty,D03,PM-1003,2025-07-21
duplicate_line,D03,PM-1007,2025-08-04
duplicate_line,D03,PW-1032,2025-10-20
duplicate_line,D03,SC-1017,2025-10-20
duplicate_line,D03,LD-1037,2025-12-29
duplicate_line,D03,LD-1041,2026-02-02
duplicate_line,D03,LD-1040,2026-02-16
duplicate_line,D03,IS-1022,2026-02-23
duplicate_line,D03,PM-1007,2026-04-06
duplicate_line,D03,IG-1008,2026-04-13
duplicate_line,D03,IS-1024,2026-05-04
duplicate_line,D03,SC-1019,2026-06-15
duplicate_line,D04,SC-1019,2024-01-08
duplicate_line,D04,SC-1016,2024-01-29
duplicate_line,D04,IG-1014,2024-02-05
duplicate_line,D04,PW-1031,2024-02-19
duplicate_line,D04,IS-1028,2024-04-15
duplicate_line,D04,SC-1017,2024-07-22
invalid_qty,D04,LD-1038,2024-07-29
duplicate_line,D04,IG-1008,2024-07-29
duplicate_line,D04,SC-1018,2024-08-05
duplicate_line,D04,SC-1020,2024-08-05
invalid_qty,D04,LD-1038,2024-08-12
duplicate_line,D04,IG-1012,2024-08-12
resubmitted_week,D04,,2024-09-02
duplicate_line,D04,SC-1021,2024-09-02
resubmitted_week,D04,,2024-09-16
duplicate_line,D04,LD-1039,2024-09-16
duplicate_line,D04,PW-1034,2024-11-25
duplicate_line,D04,LD-1040,2024-11-25
duplicate_line,D04,SC-1016,2024-12-30
duplicate_line,D04,SC-1021,2025-01-20
duplicate_line,D04,IS-1022,2025-02-24
invalid_qty,D04,IS-1028,2025-03-03
duplicate_line,D04,SC-1016,2025-03-17
duplicate_line,D04,LD-1038,2025-03-31
duplicate_line,D04,IS-1027,2025-03-31
resubmitted_week,D04,,2025-04-14
duplicate_line,D04,PM-1007,2025-05-05
duplicate_line,D04,LD-1040,2025-06-23
duplicate_line,D04,PM-1003,2025-07-07
duplicate_line,D04,PW-1030,2025-09-22
duplicate_line,D04,PW-1030,2025-11-24
duplicate_line,D04,PM-1007,2025-12-08
invalid_qty,D04,IG-1011,2025-12-29
invalid_qty,D04,SC-1017,2026-01-12
duplicate_line,D04,LD-1042,2026-01-26
invalid_qty,D04,PM-1005,2026-02-02
duplicate_line,D04,LD-1042,2026-03-30
duplicate_line,D04,SC-1021,2026-04-27
duplicate_line,D04,SC-1021,2026-05-04
duplicate_line,D04,SC-1015,2026-05-11
duplicate_line,D04,LD-1039,2026-05-25
duplicate_line,D04,PM-1003,2026-06-08
duplicate_line,D05,SC-1021,2024-04-01
resubmitted_week,D05,,2024-04-08
duplicate_line,D05,LD-1036,2024-08-19
invalid_qty,D05,PM-1005,2024-10-14
duplicate_line,D05,IS-1026,2024-10-14
duplicate_line,D05,IS-1025,2024-10-14
duplicate_line,D05,PW-1035,2024-12-02
invalid_qty,D05,PM-1006,2025-01-20
duplicate_line,D05,LD-1036,2025-01-27
duplicate_line,D05,SC-1015,2025-02-10
duplicate_line,D05,LD-1040,2025-08-11
duplicate_line,D05,SC-1020,2025-09-01
resubmitted_week,D05,,2026-02-02
duplicate_line,D05,PM-1007,2026-03-16
resubmitted_week,D05,,2026-05-04
duplicate_line,D05,IG-1008,2026-06-08
duplicate_line,D05,IS-1022,2026-06-15
duplicate_line,D05,SC-1018,2026-06-22
resubmitted_week,D06,,2024-01-08
duplicate_line,D06,IG-1010,2024-01-15
duplicate_line,D06,LD-1036,2024-05-20
duplicate_line,D06,PW-1031,2024-05-27
duplicate_line,D06,PM-1003,2024-06-03
resubmitted_week,D06,,2024-06-17
invalid_qty,D06,PM-1003,2024-09-23
resubmitted_week,D06,,2024-09-30
duplicate_line,D06,LD-1037,2024-10-14
duplicate_line,D06,LD-1037,2024-12-30
resubmitted_week,D06,,2025-01-06
invalid_qty,D06,SC-1018,2025-01-06
duplicate_line,D06,IG-1010,2025-03-03
duplicate_line,D06,PW-1030,2025-04-14
duplicate_line,D06,PW-1031,2025-06-09
duplicate_line,D06,SC-1018,2025-07-28
invalid_qty,D06,PM-1001,2025-08-11
duplicate_line,D06,IG-1010,2025-09-08
duplicate_line,D06,IG-1014,2025-09-29
duplicate_line,D06,PM-1007,2025-10-06
duplicate_line,D06,PM-1001,2025-11-24
invalid_qty,D06,PM-1006,2025-12-15
resubmitted_week,D06,,2026-01-05
duplicate_line,D06,SC-1020,2026-03-30
invalid_qty,D06,IG-1013,2026-04-06
duplicate_line,D06,IS-1026,2026-04-06
duplicate_line,D06,IG-1010,2026-04-20
missing_submission,D06,IS-1026,2026-05-11
missing_submission,D06,IG-1014,2026-05-11
missing_submission,D06,IG-1009,2026-05-11
missing_submission,D06,IS-1027,2026-05-11
missing_submission,D06,PM-1005,2026-05-11
missing_submission,D06,LD-1040,2026-05-11
missing_submission,D06,SC-1020,2026-05-11
missing_submission,D06,PW-1030,2026-05-11
missing_submission,D06,PW-1031,2026-05-11
missing_submission,D06,PM-1007,2026-05-11
missing_submission,D06,IS-1028,2026-05-11
missing_submission,D06,IG-1013,2026-05-11
missing_submission,D06,SC-1018,2026-05-11
missing_submission,D06,IG-1010,2026-05-11
missing_submission,D06,SC-1016,2026-05-11
missing_submission,D06,PW-1034,2026-05-11
missing_submission,D06,SC-1017,2026-05-11
missing_submission,D06,LD-1037,2026-05-11
missing_submission,D06,LD-1036,2026-05-11
missing_submission,D06,PM-1001,2026-05-11
missing_submission,D06,IS-1025,2026-05-11
missing_submission,D06,PM-1006,2026-05-11
missing_submission,D06,IG-1012,2026-05-11
missing_submission,D06,LD-1041,2026-05-11
missing_submission,D06,PM-1002,2026-05-11
missing_submission,D06,PW-1032,2026-05-11
missing_submission,D06,IS-1022,2026-05-11
missing_submission,D06,PM-1003,2026-05-11
missing_submission,D06,PW-1033,2026-05-11
missing_submission,D06,IS-1026,2026-05-18
missing_submission,D06,IG-1014,2026-05-18
missing_submission,D06,IG-1009,2026-05-18
missing_submission,D06,IS-1027,2026-05-18
missing_submission,D06,PM-1005,2026-05-18
missing_submission,D06,LD-1040,2026-05-18
missing_submission,D06,SC-1020,2026-05-18
missing_submission,D06,PW-1030,2026-05-18
missing_submission,D06,PW-1031,2026-05-18
missing_submission,D06,PM-1007,2026-05-18
missing_submission,D06,IS-1028,2026-05-18
missing_submission,D06,IG-1013,2026-05-18
missing_submission,D06,SC-1018,2026-05-18
missing_submission,D06,IG-1010,2026-05-18
missing_submission,D06,SC-1016,2026-05-18
missing_submission,D06,PW-1034,2026-05-18
missing_submission,D06,SC-1017,2026-05-18
missing_submission,D06,LD-1037,2026-05-18
missing_submission,D06,LD-1036,2026-05-18
missing_submission,D06,PM-1001,2026-05-18
missing_submission,D06,IS-1025,2026-05-18
missing_submission,D06,PM-1006,2026-05-18
missing_submission,D06,IG-1012,2026-05-18
missing_submission,D06,LD-1041,2026-05-18
missing_submission,D06,PM-1002,2026-05-18
missing_submission,D06,PW-1032,2026-05-18
missing_submission,D06,IS-1022,2026-05-18
missing_submission,D06,PM-1003,2026-05-18
missing_submission,D06,PW-1033,2026-05-18
duplicate_line,D06,IS-1028,2026-06-08
duplicate_line,D06,SC-1020,2026-06-15
duplicate_line,D06,IG-1012,2026-06-22
