order_id,line_id,anomaly_type
SO500513,24,shipped_not_billed
SO500029,11,shipped_not_billed
SO500721,9,shipped_not_billed
SO500519,19,shipped_not_billed
SO500222,28,shipped_not_billed
SO500655,27,shipped_not_billed
SO500503,3,shipped_not_billed
SO500250,1,shipped_not_billed
SO500634,17,shipped_not_billed
SO500880,1,shipped_not_billed
SO500454,8,shipped_not_billed
SO500129,6,shipped_not_billed
SO500328,11,shipped_not_billed
SO500348,7,shipped_not_billed
SO500439,23,shipped_not_billed
SO500247,19,shipped_not_billed
SO500731,13,shipped_not_billed
SO500659,17,shipped_not_billed
SO500800,3,shipped_not_billed
SO500369,28,shipped_not_billed
SO500027,27,shipped_not_billed
SO500732,1,shipped_not_billed
SO500876,12,shipped_not_billed
SO500189,5,shipped_not_billed
SO500760,10,shipped_not_billed
SO500225,9,shipped_not_billed
SO500469,18,shipped_not_billed
SO500482,20,shipped_not_billed
SO500070,4,shipped_not_billed
SO500517,22,shipped_not_billed
SO500758,28,shipped_not_billed
SO500100,18,shipped_not_billed
SO500650,16,shipped_not_billed
SO500411,2,shipped_not_billed
SO500512,19,shipped_not_billed
SO500476,6,shipped_not_billed
SO500371,13,shipped_not_billed
SO500807,7,shipped_not_billed
SO500202,13,shipped_not_billed
SO500378,6,shipped_not_billed
SO500586,15,shipped_not_billed
SO500408,11,shipped_not_billed
SO500441,18,shipped_not_billed
SO500675,4,shipped_not_billed
SO500289,23,qty_mismatch
SO500079,26,qty_mismatch
SO500508,9,qty_mismatch
SO500123,17,qty_mismatch
SO500735,11,qty_mismatch
SO500500,19,qty_mismatch
SO500190,3,qty_mismatch
SO500698,19,qty_mismatch
SO500191,3,qty_mismatch
SO500199,8,qty_mismatch
SO500496,10,qty_mismatch
SO500257,8,qty_mismatch
SO500536,1,qty_mismatch
SO500252,11,qty_mismatch
SO500476,22,qty_mismatch
SO500306,5,qty_mismatch
SO500001,8,qty_mismatch
SO500627,13,qty_mismatch
SO500370,2,qty_mismatch
SO500544,21,qty_mismatch
SO500416,12,qty_mismatch
SO500067,12,qty_mismatch
SO500172,24,qty_mismatch
SO500656,19,qty_mismatch
SO500828,28,qty_mismatch
SO500212,11,qty_mismatch
SO500484,28,qty_mismatch
SO500786,18,qty_mismatch
SO500094,17,qty_mismatch
SO500554,13,qty_mismatch
SO500485,18,qty_mismatch
SO500813,8,qty_mismatch
SO500804,12,qty_mismatch
SO500188,9,qty_mismatch
SO500764,8,qty_mismatch
SO500363,18,qty_mismatch
SO500816,21,qty_mismatch
SO500815,3,qty_mismatch
SO500185,7,qty_mismatch
SO500890,7,qty_mismatch
SO500332,20,qty_mismatch
SO500174,7,qty_mismatch
SO500481,2,qty_mismatch
SO500108,12,qty_mismatch
SO500120,20,qty_mismatch
SO500105,13,qty_mismatch
SO500006,17,qty_mismatch
SO500552,10,qty_mismatch
SO500641,19,qty_mismatch
SO500059,20,qty_mismatch
SO500541,5,qty_mismatch
SO500577,15,qty_mismatch
SO500101,2,qty_mismatch
SO500743,19,qty_mismatch
SO500394,7,qty_mismatch
SO500006,22,qty_mismatch
SO500358,15,qty_mismatch
SO500480,16,qty_mismatch
SO500473,27,qty_mismatch
SO500630,26,qty_mismatch
SO500536,23,qty_mismatch
SO500392,2,qty_mismatch
SO500166,15,qty_mismatch
SO500594,23,qty_mismatch
SO500785,13,qty_mismatch
SO500520,14,qty_mismatch
SO500364,20,qty_mismatch
SO500293,8,qty_mismatch
SO500359,27,qty_mismatch
SO500455,21,qty_mismatch
SO500442,10,qty_mismatch
SO500002,11,qty_mismatch
SO500527,8,qty_mismatch
SO500487,22,qty_mismatch
SO500639,3,qty_mismatch
SO500377,10,qty_mismatch
SO500405,22,qty_mismatch
SO500190,23,qty_mismatch
SO500380,12,qty_mismatch
SO500452,7,qty_mismatch
SO500321,18,qty_mismatch
SO500314,17,qty_mismatch
SO500107,8,qty_mismatch
SO500367,8,qty_mismatch
SO500391,18,qty_mismatch
SO500083,15,qty_mismatch
SO500481,11,qty_mismatch
SO500376,8,qty_mismatch
SO500732,5,qty_mismatch
SO500237,13,qty_mismatch
SO500204,11,qty_mismatch
SO500466,5,qty_mismatch
SO500661,11,qty_mismatch
SO500346,19,qty_mismatch
SO500854,7,qty_mismatch
SO500849,9,qty_mismatch
SO500687,16,qty_mismatch
SO500329,22,qty_mismatch
SO500075,25,qty_mismatch
SO500688,26,qty_mismatch
SO500528,9,qty_mismatch
SO500578,14,qty_mismatch
SO500774,3,qty_mismatch
SO500077,21,price_mismatch
SO500162,9,price_mismatch
SO500237,7,price_mismatch
SO500883,15,price_mismatch
SO500233,18,price_mismatch
SO500532,6,price_mismatch
SO500525,11,price_mismatch
SO500211,18,price_mismatch
SO500156,28,price_mismatch
SO500311,6,price_mismatch
SO500013,6,price_mismatch
SO500802,22,price_mismatch
SO500585,8,price_mismatch
SO500499,7,price_mismatch
SO500596,7,price_mismatch
SO500234,7,price_mismatch
SO500250,16,price_mismatch
SO500180,12,price_mismatch
SO500740,9,price_mismatch
SO500875,14,price_mismatch
SO500149,14,price_mismatch
SO500509,17,price_mismatch
SO500441,5,price_mismatch
SO500458,18,price_mismatch
SO500487,17,price_mismatch
SO500875,6,price_mismatch
SO500317,8,price_mismatch
SO500005,17,price_mismatch
SO500046,18,price_mismatch
SO500760,23,price_mismatch
SO500474,13,price_mismatch
SO500241,10,price_mismatch
SO500073,19,price_mismatch
SO500738,11,price_mismatch
SO500178,17,price_mismatch
SO500839,10,price_mismatch
SO500286,17,price_mismatch
SO500162,2,price_mismatch
SO500555,4,price_mismatch
SO500799,7,price_mismatch
SO500355,3,price_mismatch
SO500106,12,price_mismatch
SO500391,4,price_mismatch
SO500742,5,price_mismatch
SO500072,15,price_mismatch
SO500233,22,price_mismatch
SO500377,8,price_mismatch
SO500779,16,price_mismatch
SO500605,18,price_mismatch
SO500531,1,price_mismatch
SO500313,27,price_mismatch
SO500165,22,price_mismatch
SO500025,17,price_mismatch
SO500290,2,price_mismatch
SO500688,12,price_mismatch
SO500235,5,price_mismatch
SO500848,19,price_mismatch
SO500317,20,price_mismatch
SO500211,3,price_mismatch
SO500203,14,price_mismatch
SO500030,16,price_mismatch
SO500779,10,price_mismatch
SO500365,8,price_mismatch
SO500769,26,price_mismatch
SO500347,5,price_mismatch
SO500243,8,price_mismatch
SO500036,4,price_mismatch
SO500212,6,price_mismatch
SO500339,19,price_mismatch
SO500412,15,price_mismatch
SO500504,19,price_mismatch
SO500670,16,price_mismatch
SO500325,15,price_mismatch
SO500687,29,price_mismatch
SO500792,19,price_mismatch
SO500002,1,price_mismatch
SO500769,20,price_mismatch
SO500521,6,price_mismatch
SO500793,20,price_mismatch
SO500892,10,price_mismatch
SO500134,4,price_mismatch
SO500223,14,price_mismatch
SO500354,16,price_mismatch
SO500488,1,price_mismatch
SO500618,4,price_mismatch
SO500734,17,price_mismatch
SO500265,21,price_mismatch
SO500395,2,price_mismatch
SO500333,21,price_mismatch
SO500815,13,price_mismatch
SO500885,1,price_mismatch
SO500781,16,price_mismatch
SO500016,9,price_mismatch
SO500607,3,price_mismatch
SO500788,11,price_mismatch
SO500498,14,price_mismatch
SO500887,6,price_mismatch
SO500790,11,price_mismatch
SO500286,23,price_mismatch
SO500171,22,price_mismatch
SO500721,20,price_mismatch
SO500080,10,price_mismatch
SO500002,23,price_mismatch
SO500578,16,duplicate_invoice
SO500442,22,duplicate_invoice
SO500537,4,duplicate_invoice
SO500534,26,duplicate_invoice
SO500217,23,duplicate_invoice
SO500383,8,duplicate_invoice
SO500809,8,duplicate_invoice
SO500727,14,duplicate_invoice
SO500339,25,duplicate_invoice
SO500189,2,duplicate_invoice
SO500098,10,duplicate_invoice
SO500814,14,duplicate_invoice
SO500556,13,duplicate_invoice
SO500334,3,duplicate_invoice
SO500371,12,duplicate_invoice
SO500744,13,duplicate_invoice
SO500185,16,duplicate_invoice
SO500405,16,duplicate_invoice
SO500491,21,duplicate_invoice
SO500194,2,duplicate_invoice
SO500033,5,duplicate_invoice
SO500544,3,duplicate_invoice
SO500303,1,duplicate_invoice
SO500309,14,duplicate_invoice
SO500431,17,duplicate_invoice
SO500500,9,duplicate_invoice
SO500741,11,duplicate_invoice
SO500032,4,duplicate_invoice
SO500522,10,duplicate_invoice
SO500511,5,duplicate_invoice
SO500483,12,duplicate_invoice
SO500027,15,duplicate_invoice
SO500041,14,duplicate_invoice
SO500318,27,duplicate_invoice
SO500607,4,duplicate_invoice
SO500097,1,duplicate_invoice
SO500666,8,duplicate_invoice
SO500369,11,duplicate_invoice
SO500404,3,duplicate_invoice
SO500584,13,duplicate_invoice
SO500792,24,duplicate_invoice
SO500012,7,duplicate_invoice
SO500474,19,duplicate_invoice
SO500197,9,duplicate_invoice
SO500103,18,duplicate_invoice
SO500784,9,duplicate_invoice
SO500488,19,duplicate_invoice
SO500349,11,duplicate_invoice
SO500755,9,duplicate_invoice
SO500439,13,duplicate_invoice
SO500888,24,duplicate_invoice
SO500134,18,duplicate_invoice
SO500180,11,duplicate_invoice
SO500088,18,duplicate_invoice
SO500657,12,duplicate_invoice
SO500381,4,duplicate_invoice
SO500204,17,duplicate_invoice
SO500387,12,duplicate_invoice
SO500574,19,duplicate_invoice
SO500638,8,duplicate_invoice
SO500318,8,duplicate_invoice
SO500680,26,duplicate_invoice
SO500420,2,billed_not_shipped
SO500565,15,billed_not_shipped
SO500409,20,billed_not_shipped
SO500710,27,billed_not_shipped
SO500857,18,billed_not_shipped
SO500402,9,billed_not_shipped
SO500143,20,billed_not_shipped
SO500561,6,billed_not_shipped
SO500557,2,billed_not_shipped
SO500862,10,billed_not_shipped
SO500274,8,billed_not_shipped
SO500273,2,billed_not_shipped
SO500108,15,billed_not_shipped
SO500859,3,billed_not_shipped
SO500854,12,billed_not_shipped
SO500276,2,billed_not_shipped
SO500260,5,billed_not_shipped
SO500420,8,billed_not_shipped
SO500562,1,billed_not_shipped
SO500275,8,billed_not_shipped
SO500113,18,billed_not_shipped
SO500702,1,billed_not_shipped
SO500704,25,billed_not_shipped
SO500746,26,billed_not_shipped
SO500562,4,billed_not_shipped
SO500110,10,billed_not_shipped
SO500861,16,billed_not_shipped
SO500421,13,billed_not_shipped
SO500709,19,billed_not_shipped
SO500710,10,billed_not_shipped
SO500112,5,billed_not_shipped
SO500860,13,billed_not_shipped
SO500749,23,billed_not_shipped
SO500106,1,billed_not_shipped
SO500112,14,billed_not_shipped
SO500857,26,billed_not_shipped
SO500556,5,billed_not_shipped
SO500562,14,billed_not_shipped
SO500859,1,billed_not_shipped
SO500109,12,billed_not_shipped
SO500271,12,billed_not_shipped
SO500275,19,billed_not_shipped
SO500421,23,billed_not_shipped
SO500746,5,billed_not_shipped
SO500595,22,billed_not_shipped
SO500270,4,billed_not_shipped
SO500746,23,billed_not_shipped
SO500421,10,billed_not_shipped
SO500747,14,billed_not_shipped
SO500145,26,billed_not_shipped
SO500145,15,billed_not_shipped
SO500420,20,billed_not_shipped
SO500420,18,billed_not_shipped
SO500416,9,billed_not_shipped
SO500113,17,billed_not_shipped
SO500275,5,billed_not_shipped
SO500107,18,billed_not_shipped
SO500112,6,billed_not_shipped
SO500274,20,billed_not_shipped
SO500275,7,billed_not_shipped
SO500112,17,billed_not_shipped
SO500707,8,billed_not_shipped
